home_team,away_team,home_goals,away_goals,date
Arsenal FC,Coventry City FC,3,0,2026-08-21
Hull City AFC,Manchester United FC,2,0,2026-08-22
Ipswich Town FC,Sunderland AFC,2,1,2026-08-22
Nottingham Forest FC,Leeds United FC,0,1,2026-08-22
Everton FC,Crystal Palace FC,2,0,2026-08-22
Brentford FC,Tottenham Hotspur FC,3,0,2026-08-22
Manchester City FC,AFC Bournemouth,2,1,2026-08-23
Brighton & Hove Albion FC,Aston Villa FC,4,0,2026-08-23
Newcastle United FC,Liverpool FC,2,2,2026-08-23
Fulham FC,Chelsea FC,2,3,2026-08-24
Crystal Palace FC,Manchester City FC,1,4,2026-08-28
Liverpool FC,Nottingham Forest FC,2,2,2026-08-29
AFC Bournemouth,Everton FC,1,1,2026-08-29
Coventry City FC,Hull City AFC,0,1,2026-08-29
Tottenham Hotspur FC,Newcastle United FC,0,2,2026-08-29
Sunderland AFC,Fulham FC,1,0,2026-08-30
Chelsea FC,Brighton & Hove Albion FC,4,3,2026-08-30
Leeds United FC,Brentford FC,1,1,2026-08-30
Manchester United FC,Ipswich Town FC,5,2,2026-08-30
Aston Villa FC,Arsenal FC,0,1,2026-08-31
